global_round,test_accuracy,test_loss,round_time_s,avg_computation_time_s,avg_communication_time_s,avg_total_interaction_time_s,total_computation_energy_J,total_communication_energy_J,total_energy_consumption_J,avg_model_divergence
1,10.0,2.4582335613250734,149.23509693145752,63.36478425000678,0.01,63.374784250006776,1854.391483976493,2.18320239506419,0,0
2,10.0,2.4582335613250734,148.09282302856445,61.31863600001088,0.01,61.32863600001088,1400.6804408105947,2.0311031386964724,0,0
3,10.0,2.4582335613250734,146.64911437034607,60.458326699998,0.01,60.468326699997995,1207.1959914426564,1.7318465965018386,0,0
4,10.0,2.4582335613250734,148.26069164276123,62.28951544998563,0.01,62.29951544998563,1446.8898857992383,1.5895836327332677,0,0
5,10.0,2.4582335613250734,154.7581856250763,66.97353590000421,0.01,66.98353590000421,1778.6861585406918,1.3381805182315474,0,0
6,10.0,2.4582335613250734,149.6073133945465,63.542850849975366,0.01,63.552850849975364,1386.290212306433,2.135484498417741,0,0
7,10.0,2.4582335613250734,151.21873259544373,63.85108329996001,0.01,63.861083299960015,1669.811244696236,2.060082416049204,0,0
8,10.0,2.4582335613250734,146.8558349609375,61.564698800008046,0.01,61.57469880000804,1771.39037278749,1.395302632995211,0,0
9,10.0,2.4582335613250734,159.26732778549194,73.16715774999466,0.01,73.17715774999466,1694.118532877584,1.8101336148161826,0,0
10,10.0,2.4582335613250734,151.1042399406433,69.23214825001196,0.01,69.24214825001197,2004.6838113454096,2.1514163317631776,0,0
